"Player","Team","Position","Goals","Total Assists","Total Points","GP"
"Cam Atkinson","CBJ","R",4,6,10,15
"Jared Spurgeon","MIN","D",0,2,2,11
"Zac Rinaldo","CGY","C",0,0,0,1
"Jordie Benn","VAN","D",0,3,3,11
"Antoine Roussel","VAN","L",1,2,3,16
"Tyler Johnson","T.B","C",1,3,4,11
"Mike Hoffman","STL","C",4,4,8,13
"Tyler Bozak","STL","C",0,2,2,7
"Marcus Johansson","MIN","C",2,1,3,9
"Kyle Palmieri","N.J","C, R",0,3,3,8
"Ryan O'Reilly","STL","C",5,8,13,14
"Kyle Clifford","STL","L",2,0,2,12
"Alex Chiasson","EDM","R",0,1,1,9
"Jakob Silfverberg","ANA","R",3,2,5,15
"John Tavares","TOR","C",5,9,14,14
"Victor Hedman","T.B","D",3,11,14,12
"Matt Duchene","NSH","C",3,4,7,14
"Evander Kane","S.J","L",4,5,9,12
"Brayden Schenn","STL","C",7,6,13,14
"Oliver Ekman-Larsson","ARI","D",0,3,3,3
"Nazem Kadri","COL","C",3,4,7,11
"Ryan Ellis","NSH","D",2,4,6,14
"Calvin de Haan","CHI","D",1,1,2,15
"Zack Kassian","EDM","R",1,2,3,13
"Dmitry Kulikov","N.J","D",0,1,1,9
"Nick Leddy","NYI","D",1,5,6,12
"Chris Kreider","NYR","L",4,0,4,13
"Brayden McNabb","VGK","D",0,0,0,7
"Reilly Smith","VGK","R",3,2,5,11
"Tomas Tatar","MTL","L",4,4,8,14
"Tyson Barrie","EDM","D",3,9,12,16
"Dmitry Orlov","WSH","D",0,0,0,7
"Brandon Pirri","CHI","C",0,0,0,1
"Brian Dumoulin","PIT","D",0,1,1,7
"Richard Panik","WSH","R",1,2,3,12
"Drew Shore","CAR","C",0,0,0,1
"Mattias Ekholm","NSH","D",0,3,3,12
"Marcus Foligno","MIN","L",1,2,3,9
"Craig Smith","BOS","C",3,2,5,12
"Casey Cizikas","NYI","C",3,1,4,12
"David Savard","CBJ","D",0,4,4,15
"Nicolas Deslauriers","ANA","L",3,2,5,15
"Cody Eakin","BUF","C",0,1,1,10
"Byron Froese","CGY","C",1,0,1,3
"Ben Chiarot","MTL","D",1,3,4,14
"Erik Haula","NSH","L",0,4,4,13
"Anders Lee","NYI","L",4,2,6,12
"Nick Jensen","WSH","D",0,2,2,9
"Nic Dowd","WSH","C",2,2,4,12
"Justin Dowling","DAL","C",1,1,2,5
"Brenden Dillon","WSH","D",1,4,5,12
"Andrew Agozzino","ANA","L",0,0,0,1
"Radko Gudas","FLA","D",0,1,1,11
"Nate Prosser","PHI","D",1,0,1,1
"Matt Irwin","BUF","D",0,1,1,3
"Christopher Tanev","CGY","D",1,2,3,13
"Calle Jarnkrok","NSH","C",2,2,4,8
"Justin Holl","TOR","D",1,5,6,14
"Jason Zucker","PIT","L",3,2,5,12
"Tyler Toffoli","MTL","C",9,4,13,14
"Johan Larsson","ARI","L",1,0,1,13
"Mark Alt","L.A","D",0,0,0,2
"Evgeny Kuznetsov","WSH","C",1,2,3,4
"Charlie Coyle","BOS","C",2,2,4,13
"Patrik Nemeth","DET","D",0,1,1,15
"Jon Merrill","DET","D",0,2,2,9
"Tyler Pitlick","ARI","C",2,2,4,13
"Justin Faulk","STL","D",5,3,8,14
"Brock Nelson","NYI","C",2,2,4,12
"Nick Bjugstad","MIN","C",2,1,3,11
"Derek Forbort","WPG","D",1,5,6,13
"Kevin Hayes","PHI","C",6,5,11,13
"Cam Fowler","ANA","D",1,3,4,15
"Austin Watson","OTT","L",3,3,6,15
"Jaden Schwartz","STL","L",2,7,9,14
"Riley Sheahan","BUF","C",1,1,2,10
"Chris Wagner","BOS","R",2,1,3,13
"Jeff Skinner","BUF","L",0,1,1,10
"Zach Hyman","TOR","L",4,5,9,14
"Erik Gudbranson","OTT","D",0,2,2,15
"Taylor Hall","BUF","L",1,8,9,10
"Brett Connolly","FLA","R",1,0,1,7
"Ryan Johansen","NSH","C",0,4,4,10
"Mark Pysyk","DAL","D",1,0,1,11
"Jarred Tinordi","NSH","D",0,0,0,5
"Mikael Granlund","NSH","C",3,4,7,11
"Nino Niederreiter","CAR","R",6,1,7,11
"Joakim Nordstrom","CGY","C",0,0,0,11
"Michael Chaput","ARI","C",0,0,0,3
"Bryan Rust","PIT","R",3,7,10,12
"Joonas Donskoi","COL","R",5,3,8,11
"Jani Hakanpaa","ANA","D",0,0,0,15
"Marcus Sorensen","S.J","L",1,1,2,12
"Brendan Gallagher","MTL","R",5,2,7,14
"Jesper Fast","CAR","R",0,1,1,6
"Anthony Bitetto","NYR","D",1,0,1,5
"John Klingberg","DAL","D",2,9,11,11
"Mark Stone","VGK","R",3,12,15,11
"Michael Sgarbossa","WSH","C",0,2,2,5
"Kevan Miller","BOS","D",0,2,2,13
"Colin Blackwell","NYR","C",1,2,3,5
"Ryan Dzingel","CAR","C",2,2,4,11
"Ondrej Palat","T.B","L",5,4,9,12
"Nikita Nesterov","CGY","D",0,0,0,13
"Josh Manson","ANA","D",0,0,0,3
"Max McCormick","CAR","L",0,0,0,2
"Josh Archibald","EDM","R",3,2,5,16
"Travis Boyd","TOR","C",1,3,4,6
"Dylan DeMelo","WPG","D",0,3,3,9
"Johnny Gaudreau","CGY","L",8,6,14,13
"Tobias Rieder","BUF","L",3,0,3,10
"Sean Kuraly","BOS","C",2,1,3,13
"Andrew Shaw","CHI","R",2,2,4,14
"Vincent Trocheck","CAR","C",6,5,11,10
"Adam Lowry","WPG","C",4,5,9,13
"Nick Cousins","NSH","C",1,4,5,13
"Blake Coleman","T.B","C",3,4,7,11
"Andy Welinski","ANA","D",0,0,0,3
"Josh Leivo","CGY","L",0,2,2,12
"Kyle Rau","MIN","C",0,0,0,2
"Jean-Gabriel Pageau","NYI","C",2,3,5,12
"Mike Reilly","OTT","D",0,5,5,14
"Rocco Grimaldi","NSH","R",2,1,3,9
"Scott Mayfield","NYI","D",1,0,1,12
"Boone Jenner","CBJ","C",4,3,7,15
"Victor Rask","MIN","C",3,0,3,11
"Brandon Saad","COL","L",5,3,8,11
"Joel Edmundson","MTL","D",1,2,3,14
"Matt Nieto","S.J","L",3,1,4,12
"William Karlsson","VGK","C",3,4,7,11
"Scott Harrington","CBJ","D",1,1,2,3
"Ryan Nugent-Hopkins","EDM","C",5,6,11,16
"Gabriel Landeskog","COL","L",3,5,8,11
"Jonathan Huberdeau","FLA","L",4,11,15,11
"Adam Larsson","EDM","D",2,2,4,16
"Ryan Strome","NYR","C",4,2,6,13
"Mika Zibanejad","NYR","C",1,2,3,13
"Mark Scheifele","WPG","C",5,12,17,13
"Sean Couturier","PHI","C",2,2,4,3
"Dougie Hamilton","CAR","D",1,8,9,11
"Jonas Brodin","MIN","D",2,4,6,11
"Jamie Oleksiak","DAL","D",2,0,2,11
"J.T. Miller","VAN","C",3,10,13,14
